64;Kiss;Sándor;F;11/A;1995.10.24;Kiskőrös;184
65;Lakatos;József;F;11/C;1995.05.26;Kecel;193
66;Nagy;Zoltán;F;12/E;1994.02.15;Szolnok;151
67;Horváth;Mariann;L;10/B;1996.02.09;Szolnok;185
68;Kovács;Sándor;F;10/B;1996.07.30;Lajosmizse;196
69;Szőke;Sándor;F;12/B;1992.11.04;Kiskőrös;193
70;Szőke;Zoltán;F;10/A;1996.12.24;Nagykőrös;199
71;Nagy;Sándor;F;10/B;1996.09.05;Kiskőrös;195
72;Lakatos;Zoltán;F;12/E;1994.08.01;Nagykőrös;181
73;Lakatos;Mariann;L;12/B;1992.11.26;Kecel;159
74;Lakatos;Gergely;F;12/B;1992.05.11;Szolnok;159
75;Nagy;László;F;12/B;1992.02.11;Szeged;156
76;Horváth;József;F;11/A;1995.08.17;Kecel;181
77;Lakatos;Sándor;F;12/B;1992.12.27;Lajosmizse;170
78;Nagy;Sándor;F;11/C;1995.06.20;Lajosmizse;185
79;Szabó;László;F;12/B;1992.02.19;Kecskemét;179
80;Barna;László;F;12/B;1992.09.22;Szeged;191
81;Horváth;Zoltán;F;13/A;1993.04.09;Szeged;168
82;Szabó;Zoltán;F;12/E;1994.05.22;Lajosmizse;186
83;Kiss;József;F;11/A;1995.11.24;Kecel;176
84;Szabó;Andrea;L;10/A;1996.06.30;Kecskemét;165
85;Lakatos;László;F;12/A;1994.03.05;Nagykőrös;182
86;Kovács;Katalin;L;11/C;1995.02.24;Kiskőrös;154
87;Szabó;Andrea;L;11/A;1995.01.03;Kecskemét;189
88;Lakatos;László;F;12/B;1992.05.07;Kecskemét;154
89;Horváth;Sándor;F;10/B;1996.01.25;Solt;188
90;Kiss;Sándor;F;12/B;1992.09.02;Nagykőrös;167
91;Barna;Mariann;L;10/B;1996.06.15;Szolnok;186
92;Barna;Andrea;L;12/B;1992.01.13;Kecel;168
93;Kiss;Sándor;F;12/B;1992.10.23;Nagykőrös;186
94;Horváth;Mariann;L;12/A;1994.10.01;Solt;170
95;Kiss;Andrea;L;11/C;1995.03.01;Kecskemét;190
96;Horváth;József;F;12/A;1994.08.24;Kecskemét;180
97;Kovács;Andrea;L;11/A;1995.12.05;Kiskőrös;160
98;Kovács;Katalin;L;13/A;1993.05.19;Lajosmizse;152
99;Kiss;Andrea;L;13/A;1993.03.12;Kiskőrös;164
100;Kiss;Gergely;F;10/A;1996.03.05;Kiskőrös;162
